subject,category,rows,time_seconds
viewer,medium,5,0.087043
viewer,medium,50,0.083434
viewer,medium,100,0.117905
viewer,medium,150,0.048948
viewer,medium,200,0.046996
viewer,medium,250,0.086188
viewer,medium,300,0.084425
viewer,medium,350,0.048602
viewer,medium,400,0.049632
viewer,medium,450,0.047691
movie,medium,5,0.080525
movie,medium,50,0.047023
movie,medium,100,0.081565
movie,medium,150,0.048113
movie,medium,200,0.085723
movie,medium,250,0.048725
movie,medium,300,0.050777
movie,medium,350,0.081263
movie,medium,400,0.048638
movie,medium,450,0.087741
cinema,medium,5,0.116084
cinema,medium,50,0.045706
cinema,medium,100,0.045759
cinema,medium,150,0.045418
cinema,medium,200,0.079544
cinema,medium,250,0.047008
cinema,medium,300,0.047029
cinema,medium,350,0.083707
cinema,medium,400,0.047592
cinema,medium,450,0.085538
hall,medium,5,0.082958
hall,medium,50,0.046861
hall,medium,100,0.046043
hall,medium,150,0.045287
hall,medium,200,0.048187
hall,medium,250,0.120748
hall,medium,300,0.100533
hall,medium,350,0.104981
hall,medium,400,0.082771
hall,medium,450,0.047309
session,medium,5,0.081939
session,medium,50,0.082327
session,medium,100,0.093944
session,medium,150,0.090254
session,medium,200,0.092969
session,medium,250,0.081018
session,medium,300,0.082546
session,medium,350,0.089979
session,medium,400,0.086113
session,medium,450,0.046779
movie_review,medium,5,0.155374
movie_review,medium,50,0.081677
movie_review,medium,100,0.084051
movie_review,medium,150,0.046185
movie_review,medium,200,0.046139
movie_review,medium,250,0.082463
movie_review,medium,300,0.046285
movie_review,medium,350,0.046673
movie_review,medium,400,0.081537
movie_review,medium,450,0.083315
viewer_profile,slow,5,0.090439
viewer_profile,slow,50,0.124909
viewer_profile,slow,100,0.129034
viewer_profile,slow,150,0.129178
viewer_profile,slow,200,0.170781
viewer_profile,slow,250,0.133098
viewer_profile,slow,300,0.095130
viewer_profile,slow,350,0.201516
viewer_profile,slow,400,0.240791
viewer_profile,slow,450,0.164740
ticket,slow,5,0.044675
ticket,slow,50,0.046273
ticket,slow,100,0.043782
ticket,slow,150,0.081396
ticket,slow,200,0.082049
ticket,slow,250,0.082382
ticket,slow,300,0.155325
ticket,slow,350,0.082154
ticket,slow,400,0.046448
ticket,slow,450,0.118019
cinema_hall,slow,5,0.163817
cinema_hall,slow,50,0.215257
cinema_hall,slow,100,0.176839
cinema_hall,slow,150,0.154897
cinema_hall,slow,200,0.162803
cinema_hall,slow,250,0.167350
cinema_hall,slow,300,0.186622
cinema_hall,slow,350,0.200187
cinema_hall,slow,400,0.236626
cinema_hall,slow,450,0.166546
session_group,slow,5,0.303391
session_group,slow,50,0.347058
session_group,slow,100,0.349773
session_group,slow,150,0.347362
session_group,slow,200,0.458629
session_group,slow,250,0.428768
session_group,slow,300,0.491110
session_group,slow,350,0.385385
session_group,slow,400,0.413809
session_group,slow,450,0.422070
reviews,slow,5,0.209770
reviews,slow,50,0.250835
reviews,slow,100,0.277505
reviews,slow,150,0.210559
reviews,slow,200,0.177099
reviews,slow,250,0.247659
reviews,slow,300,0.178156
reviews,slow,350,0.213874
reviews,slow,400,0.214355
reviews,slow,450,0.285685
