subject,category,rows,time_seconds
viewer,medium,5,0.148132
viewer,medium,50,0.086392
viewer,medium,100,0.087882
viewer,medium,150,0.120770
viewer,medium,200,0.049539
viewer,medium,250,0.117919
viewer,medium,300,0.046481
viewer,medium,350,0.082756
viewer,medium,400,0.090644
viewer,medium,450,0.092391
viewer_profile,medium,5,0.126235
viewer_profile,medium,50,0.098641
viewer_profile,medium,100,0.089784
viewer_profile,medium,150,0.045776
viewer_profile,medium,200,0.183165
viewer_profile,medium,250,0.080177
viewer_profile,medium,300,0.083924
viewer_profile,medium,350,0.085297
viewer_profile,medium,400,0.048740
viewer_profile,medium,450,0.049584
movie,medium,5,0.046772
movie,medium,50,0.049541
movie,medium,100,0.084491
movie,medium,150,0.090773
movie,medium,200,0.088686
movie,medium,250,0.086372
movie,medium,300,0.088571
movie,medium,350,0.193423
movie,medium,400,0.088484
movie,medium,450,0.063172
favorite_movies,medium,5,0.098491
favorite_movies,medium,50,0.081821
favorite_movies,medium,100,0.111254
favorite_movies,medium,150,0.139798
favorite_movies,medium,200,0.047041
favorite_movies,medium,250,0.084367
favorite_movies,medium,300,0.083776
favorite_movies,medium,350,0.047922
favorite_movies,medium,400,0.083052
favorite_movies,medium,450,0.086392
